OBJECTID,name,borough,longitude,latitude,subway_lines,number_of_lines
6,238th St,Bronx,-73.90087,40.884667,1,1
156,145th St,Manhattan,-73.95036,40.826551,1,1
157,157th St,Manhattan,-73.94489,40.834041,1,1
159,103rd St,Manhattan,-73.968379,40.799446,1,1
166,Cathedral Pkwy (110th St),Manhattan,-73.966847,40.803967,1,1
167,116th St - Columbia University,Manhattan,-73.96411,40.807722,1,1
172,137th St - City College,Manhattan,-73.953676,40.822008,1,1
177,168th St,Manhattan,-73.940133,40.840556,1,1
178,181st St,Manhattan,-73.933596,40.849505,1,1
179,191st St,Manhattan,-73.929412,40.855225,1,1
266,Marble Hill - 225th St,Manhattan,-73.909831,40.874561,1,1
267,231st St,Bronx,-73.904834,40.878856,1,1
268,215th St,Manhattan,-73.915279,40.869444,1,1
269,207th St,Manhattan,-73.918819,40.864614,1,1
271,Van Cortlandt Park - 242nd St,Bronx,-73.898583,40.889248,1,1
286,Dyckman St,Manhattan,-73.925536,40.860531,1,1
287,125th St,Manhattan,-73.958372,40.815581,1,1
418,South Ferry,Manhattan,-74.01316896,40.70173051,1,1
425,Rector St,Manhattan,-74.013783,40.707513,1,1
426,Cortlandt St,Manhattan,-74.012188,40.711835,1,1
280,Wakefield - 241st St,Bronx,-73.85062,40.903125,2,1
173,145th St,Manhattan,-73.936245,40.820421,3,1
261,Harlem - 148 St,Manhattan,-73.93647,40.82388,3,1
47,149th St - Grand Concourse,Bronx,-73.92738475,40.81830344,4,1
48,161st St - Yankee Stadium,Bronx,-73.925692,40.82823033,4,1
174,176th St,Bronx,-73.911794,40.84848,4,1
175,Burnside Ave,Bronx,-73.907684,40.853453,4,1
259,Kingsbridge Rd,Bronx,-73.897174,40.86776,4,1
260,Bedford Park Blvd - Lehman College,Bronx,-73.890064,40.873412,4,1
262,Mt Eden Ave,Bronx,-73.914685,40.844434,4,1
264,170th St,Bronx,-73.917791,40.840075,4,1
274,Mosholu Pkwy,Bronx,-73.884655,40.87975,4,1
291,167th St,Bronx,-73.9214,40.835537,4,1
407,183rd St,Bronx,-73.903879,40.858407,4,1
408,Fordham Rd,Bronx,-73.901034,40.862803,4,1
456,Woodlawn,Bronx,-73.878751,40.886037,4,1
125,Morris Park,Bronx,-73.860495,40.854364,5,1
126,Pelham Pkwy,Bronx,-73.855359,40.858985,5,1
277,Baychester Ave,Bronx,-73.838591,40.878663,5,1
278,Eastchester - Dyre Ave,Bronx,-73.830834,40.8883,5,1
284,Gun Hill Rd,Bronx,-73.846384,40.869526,5,1
50,E 149th St,Bronx,-73.904098,40.812118,6,1
51,Morrison Av - Soundview,Bronx,-73.874516,40.829521,6,1
52,Whitlock Ave,Bronx,-73.886283,40.826525,6,1
53,St Lawrence Ave,Bronx,-73.867618,40.831509,6,1
249,Elder Ave,Bronx,-73.879159,40.828584,6,1
250,Longwood Ave,Bronx,-73.896435,40.816104,6,1
255,Cypress Ave,Bronx,-73.914042,40.805368,6,1
258,E 143rd St - St Mary's St,Bronx,-73.907657,40.808719,6,1
292,Brook Ave,Bronx,-73.91924,40.807566,6,1
189,103rd St - Corona Plaza,Queens,-73.8627,40.749865,7,1
190,111th St,Queens,-73.855334,40.75173,7,1
230,69th St,Queens,-73.896403,40.746325,7,1
231,74th St - Broadway,Queens,-73.89120513,40.74686757,7,1
236,52nd St,Queens,-73.912549,40.744149,7,1
239,46th St,Queens,-73.918435,40.743132,7,1
240,82nd St - Jackson Hts,Queens,-73.883697,40.747659,7,1
241,90th St - Elmhurst Av,Queens,-73.876613,40.748408,7,1
293,33rd St,Queens,-73.930997,40.744587,7,1
294,40th St,Queens,-73.924016,40.743781,7,1
